"numero epoch","batch_size","nb_epochs","learning_rate","input_size","hidden_size","output_size","weight_init_range","Training Loss","Validation Loss","Test Loss","Accuracy",""
"1","2","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.3015663059742","2.3009182413041","2.3016571853501","10.842857142857",""
"2","2","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.3013803491233","2.3008784736527","2.3018682967595","10.842857142857",""
"3","2","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.3013985623916","2.3010096928052","2.3017536230087","10.842857142857",""
"4","2","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.3012703479093","2.3011086681154","2.3022119725091","10.842857142857",""
"5","2","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.2976390381559","2.2728712741534","2.2736428388187","10.842857142857",""
"6","2","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","1.915574597371","1.5655497632708","1.5575452683568","36.757142857143",""
"7","2","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","1.4103045513898","1.2948494337026","1.2884687985373","51.2",""
"8","2","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","1.2062173148536","1.1232099108445","1.1186258745907","57.485714285714",""
"9","2","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","0.89069984125631","0.66091137855705","0.64567483880783","79.685714285714",""
"10","2","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","0.5709314271946","0.50176694475246","0.48437564808982","85.7",""
"1","3","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.3016761548746","2.3013948006289","2.3017114408014","10.842857142857",""
"2","3","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.301195483009","2.3013930446761","2.3016533919043","10.842857142857",""
"3","3","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.3011780822135","2.3014181904566","2.301643486501","10.842857142857",""
"4","3","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.3011945130144","2.3013949061008","2.3015947816917","10.842857142857",""
"5","3","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.3011363680874","2.3013572454453","2.3017482476655","10.842857142857",""
"6","3","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.3010068843478","2.3011490069684","2.3015931547454","10.842857142857",""
"7","3","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.2998184439398","2.2962029478096","2.2967836362435","10.842857142857",""
"8","3","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.1865565669483","2.0381945896929","2.0441015064844","22.128571428571",""
"9","3","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","1.7933549836207","1.6140908232047","1.6117649900997","36.414285714286",""
