"numero epoch","batch_size","nb_epochs","learning_rate","input_size","hidden_size","output_size","weight_init_range","Training Loss","Validation Loss","Test Loss","Accuracy"
"3","2","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.3013985623916","2.3010096928052","2.3017536230087","10.842857142857"
"2","3","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.301195483009","2.3013930446761","2.3016533919043","10.842857142857"
"2","4","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.3012479540847","2.301044013538","2.3014756400244","10.842857142857"
"2","5","10","0.001","784","(128, 256)","10","(-0,001, 0,001)","2.3011875368773","2.3013021025393","2.3016038072109","10.842857142857"
"6","2","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.072009456607434","0.11403081189441","0.090893950033887","97.3"
"7","3","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.076086828845064","0.11276936196324","0.097211255572919","97.157142857143"
"9","4","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.065299704281768","0.10330105646409","0.09238698018038","96.857142857143"
"10","5","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.074099050459501","0.098419676715501","0.086451791359872","97.214285714286"
"1","2","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3016892804891","2.3008227850142","2.3016597204208","10.842857142857"
"1","3","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3018217630897","2.300930795556","2.3017285332888","10.842857142857"
"3","4","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3012274363684","2.3010796817144","2.3014320587431","10.842857142857"
"2","5","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3011690567174","2.3018139870394","2.3014894696644","10.842857142857"
"4","2","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.10803866504107","0.12398433515194","0.11931739658962","96.342857142857"
"10","3","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.042179762896974","0.10118815820939","0.08457658114882","97.728571428571"
"8","4","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.078996848348146","0.1146335095416","0.10032530945728","97.185714285714"
"7","5","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.10087912896981","0.12402992395835","0.11027683248976","96.614285714286"
"10","2","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","0.37204958063169","0.33741379203367","0.32762810718368","90.314285714286"
"10","3","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.1561753556024","1.9614497612452","1.9767369746191","22.1"
"1","4","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3019007656688","2.3012827747587","2.30170849623","10.842857142857"
"2","5","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.301146704881","2.3014941856975","2.3016058695316","10.842857142857"
"6","2","10","0.01","784","(256, 256)","10","(-0,001, 0,001)","0.06311651278977","0.10004588163294","0.083653106562157","97.642857142857"
"6","3","10","0.01","784","(256, 256)","10","(-0,001, 0,001)","0.083182425314927","0.096652310973975","0.08985856495461","97.071428571428"
"7","4","10","0.01","784","(256, 256)","10","(-0,001, 0,001)","0.081393053723278","0.10779726774597","0.088858205303376","97.442857142857"
"10","5","10","0.01","784","(256, 256)","10","(-0,001, 0,001)","0.062804934372329","0.10863280171441","0.094015682880781","97.3"
"3","2","10","0.001","784","(256, 256, 256)","10","(-0,001, 0,001)","2.3013929728383","2.3005657213832","2.3016870195525","10.842857142857"
"1","3","10","0.001","784","(256, 256, 256)","10","(-0,001, 0,001)","2.3016209276375","2.3013670266242","2.3014701451618","10.842857142857"
"2","4","10","0.001","784","(256, 256, 256)","10","(-0,001, 0,001)","2.3011971620908","2.301200670212","2.3015974686486","10.842857142857"
"4","5","10","0.001","784","(256, 256, 256)","10","(-0,001, 0,001)","2.3010952789395","2.3014602768989","2.3015919154031","10.842857142857"
"10","2","10","0.01","784","(256, 256, 256)","10","(-0,001, 0,001)","0.066695616945199","0.099908218661743","0.088405235258951","97.414285714286"
"10","3","10","0.01","784","(256, 256, 256)","10","(-0,001, 0,001)","0.21301953244235","0.18412990999268","0.16131968127012","95.585714285714"
"1","4","10","0.01","784","(256, 256, 256)","10","(-0,001, 0,001)","2.3017329129151","2.3018681762332","2.3013996738706","10.842857142857"
"2","5","10","0.01","784","(256, 256, 256)","10","(-0,001, 0,001)","2.3016884175321","2.3016430058176","2.3026099881104","10.842857142857"
"1","2","10","0.001","784","(256, 256, 256, 256)","10","(-0,001, 0,001)","2.3017728822667","2.3008720938365","2.3015852360044","10.842857142857"
"4","3","10","0.001","784","(256, 256, 256, 256)","10","(-0,001, 0,001)","2.3012691613464","2.3010382681801","2.3016719085698","10.842857142857"
"2","4","10","0.001","784","(256, 256, 256, 256)","10","(-0,001, 0,001)","2.3012555087748","2.3010299208808","2.301588146346","10.842857142857"
"2","5","10","0.001","784","(256, 256, 256, 256)","10","(-0,001, 0,001)","2.3012668330991","2.3011596405317","2.3015395534038","10.842857142857"
"6","2","10","0.01","784","(256, 256, 256, 256)","10","(-0,001, 0,001)","2.3025586868941","2.3009987183601","2.3026237129484","10.842857142857"
"2","3","10","0.01","784","(256, 256, 256, 256)","10","(-0,001, 0,001)","2.3019162504304","2.3010233531112","2.3015985887277","10.842857142857"
"3","4","10","0.01","784","(256, 256, 256, 256)","10","(-0,001, 0,001)","2.3017800431024","2.3015867759311","2.3018907790865","10.842857142857"
"4","5","10","0.01","784","(256, 256, 256, 256)","10","(-0,001, 0,001)","2.3019430811916","2.3002486814582","2.3020769783429","10.842857142857"
"1","2","10","0.001","784","(256, 256, 256, 256, 256)","10","(-0,001, 0,001)","2.3016736578279","2.3006387123607","2.3014617037773","10.842857142857"
"3","3","10","0.001","784","(256, 256, 256, 256, 256)","10","(-0,001, 0,001)","2.3012799493898","2.3010163167545","2.3016650406029","10.842857142857"
"2","4","10","0.001","784","(256, 256, 256, 256, 256)","10","(-0,001, 0,001)","2.3012614966953","2.3009792864512","2.3015951302392","10.842857142857"
"3","5","10","0.001","784","(256, 256, 256, 256, 256)","10","(-0,001, 0,001)","2.3011398537291","2.3013175453458","2.3015987724917","10.842857142857"
"9","2","10","0.01","784","(256, 256, 256, 256, 256)","10","(-0,001, 0,001)","2.3021685844565","2.3015904702838","2.3017950635638","10.842857142857"
"4","3","10","0.01","784","(256, 256, 256, 256, 256)","10","(-0,001, 0,001)","2.3017630587022","2.3022953951926","2.3025739409521","10.842857142857"
"1","4","10","0.01","784","(256, 256, 256, 256, 256)","10","(-0,001, 0,001)","2.3016773355575","2.3038873311451","2.3022446966171","10.842857142857"
"2","5","10","0.01","784","(256, 256, 256, 256, 256)","10","(-0,001, 0,001)","2.3018651260033","2.3010171555337","2.301779176678","10.842857142857"
"10","2","10","0.001","784","(128, 256)","10","(-0,01, 0,01)","0.16987353255261","0.17601814407024","0.16636265403255","95.071428571428"
"10","3","10","0.001","784","(128, 256)","10","(-0,01, 0,01)","0.28064878277276","0.27548022273856","0.26313097952845","92.342857142857"
"10","4","10","0.001","784","(128, 256)","10","(-0,01, 0,01)","0.37108006312536","0.34778637125682","0.33672058835546","90.528571428571"
"10","5","10","0.001","784","(128, 256)","10","(-0,01, 0,01)","0.47515436352567","0.46435351971433","0.43654273179227","87.542857142857"
"4","2","10","0.01","784","(128, 256)","10","(-0,01, 0,01)","0.077505048343294","0.090268739589779","0.080171517034654","97.714285714286"
"6","3","10","0.01","784","(128, 256)","10","(-0,01, 0,01)","0.059668552376754","0.094713293025184","0.085868418663823","97.585714285714"
"5","4","10","0.01","784","(128, 256)","10","(-0,01, 0,01)","0.088023580342357","0.10814413412814","0.092088276827375","97.171428571429"
"6","5","10","0.01","784","(128, 256)","10","(-0,01, 0,01)","0.084927818203848","0.10902713193651","0.099466735749943","96.957142857143"
"10","2","10","0.001","784","(256, 128)","10","(-0,01, 0,01)","0.1647728804295","0.17221870746565","0.15483621364188","95.6"
"10","3","10","0.001","784","(256, 128)","10","(-0,01, 0,01)","0.26209368686324","0.27248569360377","0.24827517699758","92.8"
"10","4","10","0.001","784","(256, 128)","10","(-0,01, 0,01)","0.38058580341503","0.37411360457547","0.35412312429239","89.857142857143"
"10","5","10","0.001","784","(256, 128)","10","(-0,01, 0,01)","0.45964746391114","0.42625441404784","0.41807116563631","88.328571428571"
"6","2","10","0.01","784","(256, 128)","10","(-0,01, 0,01)","0.041136872436263","0.085322690338488","0.073181632347661","97.842857142857"
"7","3","10","0.01","784","(256, 128)","10","(-0,01, 0,01)","0.040669477807442","0.0798527760633","0.072816091001601","97.714285714286"
"4","4","10","0.01","784","(256, 128)","10","(-0,01, 0,01)","0.1076974390414","0.10837085867611","0.097661009377008","97.114285714286"
"10","5","10","0.01","784","(256, 128)","10","(-0,01, 0,01)","0.036591807393046","0.082342412419259","0.074363214544713","97.671428571429"
"10","2","10","0.001","784","(256, 256)","10","(-0,01, 0,01)","0.16287919698637","0.16246387803236","0.15427645242607","95.671428571429"
"10","3","10","0.001","784","(256, 256)","10","(-0,01, 0,01)","0.24800409437101","0.25141864343872","0.23065219636685","93.228571428571"
