numeor epoch;batch_size;nb_epochs;learning_rate;input_size;hidden_size;output_size;weight_init_range;Training Loss;Validation Loss;Test Loss;Accuracy
1;2;10;0,001;784;128;10;(-0,001, 0,001);1,615105055;0,636054013;0,627581984;83,15714286
2;2;10;0,001;784;128;10;(-0,001, 0,001);0,480460673;0,381390133;0,374700127;89,52857143
3;2;10;0,001;784;128;10;(-0,001, 0,001);0,361691697;0,321381723;0,316858395;90,67142857
4;2;10;0,001;784;128;10;(-0,001, 0,001);0,316565838;0,288113604;0,284150649;91,64285714
5;2;10;0,001;784;128;10;(-0,001, 0,001);0,286461842;0,263085931;0,259451266;92,48571429
6;2;10;0,001;784;128;10;(-0,001, 0,001);0,262160793;0,244589311;0,239750265;93,14285714
7;2;10;0,001;784;128;10;(-0,001, 0,001);0,242174168;0,227290118;0,224096492;93,71428571
8;2;10;0,001;784;128;10;(-0,001, 0,001);0,224125369;0,213110622;0,210496255;93,81428571
9;2;10;0,001;784;128;10;(-0,001, 0,001);0,209074467;0,205327693;0,201087547;94,31428571
10;2;10;0,001;784;128;10;(-0,001, 0,001);0,196415113;0,191781583;0,188089929;94,6
1;3;10;0,001;784;128;10;(-0,001, 0,001);2,009097246;1,060365238;1,059514352;69,4
2;3;10;0,001;784;128;10;(-0,001, 0,001);0,677885283;0,475710379;0,464711426;87,8
3;3;10;0,001;784;128;10;(-0,001, 0,001);0,428505049;0,378757761;0,369146076;89,47142857
4;3;10;0,001;784;128;10;(-0,001, 0,001);0,36430154;0,334998668;0,327560125;90,5
5;3;10;0,001;784;128;10;(-0,001, 0,001);0,330695012;0,311292897;0,303402713;91,32857143
6;3;10;0,001;784;128;10;(-0,001, 0,001);0,307735642;0,29515107;0,286696275;91,8
7;3;10;0,001;784;128;10;(-0,001, 0,001);0,289478089;0,279602722;0,271218801;92,05714286
8;3;10;0,001;784;128;10;(-0,001, 0,001);0,273513032;0,263627046;0,257929093;92,61428571
9;3;10;0,001;784;128;10;(-0,001, 0,001);0,258605104;0,250091368;0,246040193;92,77142857
10;3;10;0,001;784;128;10;(-0,001, 0,001);0,245538298;0,237856855;0,233270853;93,17142857
1;4;10;0,001;784;128;10;(-0,001, 0,001);2,206159824;1,687390689;1,683594398;49,77142857
2;4;10;0,001;784;128;10;(-0,001, 0,001);0,959961442;0,631005446;0,602217037;83,14285714
3;4;10;0,001;784;128;10;(-0,001, 0,001);0,517175763;0,461270839;0,433182549;88,22857143
4;4;10;0,001;784;128;10;(-0,001, 0,001);0,41619574;0,400932053;0,374773396;89,45714286
5;4;10;0,001;784;128;10;(-0,001, 0,001);0,370955214;0,368300675;0,341933227;90,02857143
6;4;10;0,001;784;128;10;(-0,001, 0,001);0,342898252;0,348396404;0,321514114;90,71428571
7;4;10;0,001;784;128;10;(-0,001, 0,001);0,322060883;0,330439856;0,303020487;91,17142857
8;4;10;0,001;784;128;10;(-0,001, 0,001);0,305566827;0,315582642;0,289281515;91,78571429
9;4;10;0,001;784;128;10;(-0,001, 0,001);0,291130338;0,303848196;0,277258654;91,98571429
10;4;10;0,001;784;128;10;(-0,001, 0,001);0,27869455;0,291924123;0,267059667;92,32857143
1;5;10;0,001;784;128;10;(-0,001, 0,001);2,275524729;2,103747416;2,106644336;28,52857143
2;5;10;0,001;784;128;10;(-0,001, 0,001);1,330598577;0,818110247;0,804658404;78,1
3;5;10;0,001;784;128;10;(-0,001, 0,001);0,646415946;0,531198772;0,510699358;86,17142857
4;5;10;0,001;784;128;10;(-0,001, 0,001);0,47763642;0,435689239;0,417075536;88,82857143
5;5;10;0,001;784;128;10;(-0,001, 0,001);0,411507185;0,389426757;0,372816363;89,68571429
6;5;10;0,001;784;128;10;(-0,001, 0,001);0,375849601;0,361296026;0,346370061;90,15714286
7;5;10;0,001;784;128;10;(-0,001, 0,001);0,352016219;0,341108627;0,325583135;90,61428571
8;5;10;0,001;784;128;10;(-0,001, 0,001);0,333961862;0,325936657;0,310658181;91,05714286
9;5;10;0,001;784;128;10;(-0,001, 0,001);0,319570308;0,313319238;0,298229664;91,21428571
10;5;10;0,001;784;128;10;(-0,001, 0,001);0,307358206;0,30338975;0,288618342;91,62857143
1;2;10;0,0025;784;128;10;(-0,001, 0,001);0,893273064;0,361323516;0,339677966;90,17142857
2;2;10;0,0025;784;128;10;(-0,001, 0,001);0,316236002;0,283201195;0,264951787;92,27142857
3;2;10;0,0025;784;128;10;(-0,001, 0,001);0,254940014;0,240507618;0,222554605;93,62857143
4;2;10;0,0025;784;128;10;(-0,001, 0,001);0,212137158;0,21847719;0,203210028;93,94285714
5;2;10;0,0025;784;128;10;(-0,001, 0,001);0,181293182;0,180061251;0,168129666;95,28571429
6;2;10;0,0025;784;128;10;(-0,001, 0,001);0,158238744;0,16458714;0,155985023;95,4
7;2;10;0,0025;784;128;10;(-0,001, 0,001);0,140540279;0,152384073;0,144052952;95,92857143
8;2;10;0,0025;784;128;10;(-0,001, 0,001);0,126099817;0,147118846;0,137778082;96,1
9;2;10;0,0025;784;128;10;(-0,001, 0,001);0,114943754;0,133251267;0,123794171;96,5
10;2;10;0,0025;784;128;10;(-0,001, 0,001);0,104516739;0,12525156;0,115334153;96,74285714
1;3;10;0,0025;784;128;10;(-0,001, 0,001);1,143774517;0,420464934;0,408373512;88,8
2;3;10;0,0025;784;128;10;(-0,001, 0,001);0,367348274;0,318950591;0,307898119;91,12857143
3;3;10;0,0025;784;128;10;(-0,001, 0,001);0,298700512;0,277378584;0,266189188;92,41428571
4;3;10;0,0025;784;128;10;(-0,001, 0,001);0,257037107;0,246771874;0,238752226;92,85714286
5;3;10;0,0025;784;128;10;(-0,001, 0,001);0,225192144;0,216985454;0,211533779;93,95714286
6;3;10;0,0025;784;128;10;(-0,001, 0,001);0,20094057;0,200105871;0,193995564;94,44285714
7;3;10;0,0025;784;128;10;(-0,001, 0,001);0,181236501;0,181337046;0,173862967;95,14285714
8;3;10;0,0025;784;128;10;(-0,001, 0,001);0,165612554;0,168818038;0,163413528;95,32857143
9;3;10;0,0025;784;128;10;(-0,001, 0,001);0,151529402;0,158565412;0,151441101;95,6
10;3;10;0,0025;784;128;10;(-0,001, 0,001);0,139752215;0,147931872;0,142629975;95,94285714
1;4;10;0,0025;784;128;10;(-0,001, 0,001);1,380826073;0,511718218;0,493620092;86,54285714
2;4;10;0,0025;784;128;10;(-0,001, 0,001);0,415507066;0,35791348;0,341745049;90,45714286
3;4;10;0,0025;784;128;10;(-0,001, 0,001);0,330527687;0,304272646;0,290277955;91,45714286
4;4;10;0,0025;784;128;10;(-0,001, 0,001);0,289367352;0,278802308;0,263536235;92,25714286
5;4;10;0,0025;784;128;10;(-0,001, 0,001);0,259720477;0,252175906;0,239464207;92,84285714
6;4;10;0,0025;784;128;10;(-0,001, 0,001);0,235337685;0,232239823;0,221289747;93,51428571
7;4;10;0,0025;784;128;10;(-0,001, 0,001);0,214939871;0,215712547;0,203490838;93,95714286
8;4;10;0,0025;784;128;10;(-0,001, 0,001);0,198585088;0,203179848;0,192892026;94,25714286
9;4;10;0,0025;784;128;10;(-0,001, 0,001);0,184845715;0,193364844;0,179668152;94,78571429
10;4;10;0,0025;784;128;10;(-0,001, 0,001);0,172566433;0,183878128;0,171974889;94,92857143
1;5;10;0,0025;784;128;10;(-0,001, 0,001);1,585560664;0,63764284;0,61190594;82,81428571
2;5;10;0,0025;784;128;10;(-0,001, 0,001);0,472114531;0,400210038;0,373375611;89,64285714
3;5;10;0,0025;784;128;10;(-0,001, 0,001);0,357663751;0,343585994;0,318629876;90,71428571
4;5;10;0,0025;784;128;10;(-0,001, 0,001);0,313339737;0,309423738;0,284571869;91,85714286
5;5;10;0,0025;784;128;10;(-0,001, 0,001);0,283641569;0,285089451;0,262643976;92,4
6;5;10;0,0025;784;128;10;(-0,001, 0,001);0,260586671;0,265562915;0,244053303;92,87142857
7;5;10;0,0025;784;128;10;(-0,001, 0,001);0,240090664;0,248068775;0,227269653;93,42857143
8;5;10;0,0025;784;128;10;(-0,001, 0,001);0,222098848;0,231585081;0,21237108;93,8
9;5;10;0,0025;784;128;10;(-0,001, 0,001);0,207203007;0,218798231;0,200637125;94,31428571
10;5;10;0,0025;784;128;10;(-0,001, 0,001);0,193328187;0,209379087;0,19372167;94,37142857
1;2;10;0,005;784;128;10;(-0,001, 0,001);0,614154354;0,287950794;0,272146275;91,88571429
2;2;10;0,005;784;128;10;(-0,001, 0,001);0,233666882;0,210284584;0,192456948;94,47142857
3;2;10;0,005;784;128;10;(-0,001, 0,001);0,171251303;0,171194533;0,15187097;95,4
4;2;10;0,005;784;128;10;(-0,001, 0,001);0,134865025;0,141933609;0,127951139;96,28571429
5;2;10;0,005;784;128;10;(-0,001, 0,001);0,110076715;0,124622247;0,111274815;96,8
6;2;10;0,005;784;128;10;(-0,001, 0,001);0,094409345;0,116443628;0,104071698;96,7
7;2;10;0,005;784;128;10;(-0,001, 0,001);0,081751653;0,111460919;0,100215375;96,85714286
8;2;10;0,005;784;128;10;(-0,001, 0,001);0,071660855;0,103436448;0,092800707;97,1
9;2;10;0,005;784;128;10;(-0,001, 0,001);0,064025502;0,099581191;0,08837823;97,28571429
10;2;10;0,005;784;128;10;(-0,001, 0,001);0,057104892;0,099363512;0,087735022;97,21428571
1;3;10;0,005;784;128;10;(-0,001, 0,001);0,766699831;0,32155126;0,316028124;91,01428571
2;3;10;0,005;784;128;10;(-0,001, 0,001);0,280973613;0,2422098;0,233347927;93,18571429
3;3;10;0,005;784;128;10;(-0,001, 0,001);0,215698662;0,192513856;0,185457161;94,3
4;3;10;0,005;784;128;10;(-0,001, 0,001);0,17645782;0,168902623;0,160520866;95,34285714
5;3;10;0,005;784;128;10;(-0,001, 0,001);0,149129358;0,149362322;0,140367916;96,02857143
6;3;10;0,005;784;128;10;(-0,001, 0,001);0,129313985;0,136699414;0,129809937;96,22857143
7;3;10;0,005;784;128;10;(-0,001, 0,001);0,113137638;0,122149654;0,114311431;96,77142857
8;3;10;0,005;784;128;10;(-0,001, 0,001);0,101070843;0,116868758;0,109155046;96,85714286
9;3;10;0,005;784;128;10;(-0,001, 0,001);0,09054902;0,111716374;0,105068937;96,95714286
10;3;10;0,005;784;128;10;(-0,001, 0,001);0,082435313;0,102707678;0,096079618;97,11428571
1;4;10;0,005;784;128;10;(-0,001, 0,001);0,903637077;0,377102513;0,355268841;89,8
2;4;10;0,005;784;128;10;(-0,001, 0,001);0,310495381;0,27676073;0,257685996;92,37142857
3;4;10;0,005;784;128;10;(-0,001, 0,001);0,243086422;0,230009515;0,213822153;93,78571429
4;4;10;0,005;784;128;10;(-0,001, 0,001);0,203132573;0,19872926;0,185568612;94,6
